date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:03:25	60635/60635	---MCZ	200	added ('OK')	application/javascript	etag:W/%226753e645-ecdb%22	https://dashboardkit.io/assets/js/plugins/bootstrap.min.js	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/js/plugins/bootstrap.min.js	(from https://dashboardkit.io/dashboard/index.html)
13:03:27	602660/602660	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226753e645-93224%22	https://dashboardkit.io/assets/fonts/tabler/tabler-icons.eot	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/tabler/tabler-icons.eot	(from https://dashboardkit.io/assets/fonts/tabler-icons.min.css)
13:03:29	602660/602660	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226753e645-93224%22	https://dashboardkit.io/assets/fonts/tabler/tabler-icons.eot?	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/tabler/tabler-iconsd41d.eot	(from https://dashboardkit.io/assets/fonts/tabler-icons.min.css)
13:03:29	1425850/1425850	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226753e645-15c1ba%22	https://dashboardkit.io/assets/fonts/phosphor/duotone/Phosphor-Duotone.svg	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/phosphor/duotone/Phosphor-Duotone.svg	(from https://dashboardkit.io/assets/fonts/phosphor/duotone/style.css)
13:03:29	235232/235232	---M--	200	added ('OK')	application/font-woff2	etag:%226753e645-396e0%22	https://dashboardkit.io/assets/fonts/tabler/tabler-icons.woff2	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/tabler/tabler-icons.woff2	(from https://dashboardkit.io/assets/fonts/tabler-icons.min.css)
13:03:32	316848/316848	---MCZ	200	added ('OK')	application/font-woff	etag:W/%226753e645-4d5b0%22	https://dashboardkit.io/assets/fonts/tabler/tabler-icons.woff	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/tabler/tabler-icons.woff	(from https://dashboardkit.io/assets/fonts/tabler-icons.min.css)
13:03:33	62084/62084	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226753e645-f284%22	https://dashboardkit.io/assets/fonts/feather/feather.eot?t=1525787366991	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/feather/feathere8ab.eot	(from https://dashboardkit.io/assets/fonts/feather.css)
13:03:34	602476/602476	---M--	200	added ('OK')	application/octet-stream	etag:%226753e645-9316c%22	https://dashboardkit.io/assets/fonts/tabler/tabler-icons.ttf	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/tabler/tabler-icons.ttf	(from https://dashboardkit.io/assets/fonts/tabler-icons.min.css)
13:03:34	29500/29500	---MCZ	200	added ('OK')	application/font-woff	etag:W/%226753e645-733c%22	https://dashboardkit.io/assets/fonts/feather/feather.woff?t=1525787366991	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/feather/feathere8ab.woff	(from https://dashboardkit.io/assets/fonts/feather.css)
13:03:35	61920/61920	---M--	200	added ('OK')	application/octet-stream	etag:%226753e645-f1e0%22	https://dashboardkit.io/assets/fonts/feather/feather.ttf?t=1525787366991	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/feather/feathere8ab.ttf	(from https://dashboardkit.io/assets/fonts/feather.css)
13:03:35	460852/460852	---M--	200	added ('OK')	application/octet-stream	etag:%226753e645-70834%22	https://dashboardkit.io/assets/fonts/phosphor/duotone/Phosphor-Duotone.ttf	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/phosphor/duotone/Phosphor-Duotone.ttf	(from https://dashboardkit.io/assets/fonts/phosphor/duotone/style.css)
13:03:36	213926/213926	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226753e645-343a6%22	https://dashboardkit.io/assets/fonts/feather/feather.svg?t=1525787366991	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/feather/feathere8ab.svg	(from https://dashboardkit.io/assets/fonts/feather.css)
13:03:36	34388/34388	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226753e645-8654%22	https://dashboardkit.io/assets/fonts/fontawesome/fa-regular-400.eot	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/fontawesome/fa-regular-400.eot	(from https://dashboardkit.io/assets/fonts/fontawesome.css)
13:03:36	34388/34388	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226753e645-8654%22	https://dashboardkit.io/assets/fonts/fontawesome/fa-regular-400.eot?	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/fontawesome/fa-regular-400d41d.eot	(from https://dashboardkit.io/assets/fonts/fontawesome.css)
13:03:37	13580/13580	---M--	200	added ('OK')	application/font-woff2	etag:%226753e645-350c%22	https://dashboardkit.io/assets/fonts/fontawesome/fa-regular-400.woff2	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/fontawesome/fa-regular-400.woff2	(from https://dashboardkit.io/assets/fonts/fontawesome.css)
13:03:37	16804/16804	---MCZ	200	added ('OK')	application/font-woff	etag:W/%226753e645-41a4%22	https://dashboardkit.io/assets/fonts/fontawesome/fa-regular-400.woff	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/fontawesome/fa-regular-400.woff	(from https://dashboardkit.io/assets/fonts/fontawesome.css)
